,Time,year_month,week,hour,unit,block,gfa,usage,Value
0,2023-04-01 00:00:00,2023-04,13,00,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.140907048174892
1,2023-04-01 01:00:00,2023-04,13,01,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.1691879821732659
2,2023-04-01 02:00:00,2023-04,13,02,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.178812686742763
3,2023-04-01 03:00:00,2023-04,13,03,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.0563382080970163
4,2023-04-01 04:00:00,2023-04,13,04,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.0610419551164247
5,2023-04-01 05:00:00,2023-04,13,05,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.035159277701285
6,2023-04-01 06:00:00,2023-04,13,06,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.1016389114151212
7,2023-04-01 07:00:00,2023-04,13,07,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.1750150773926946
8,2023-04-01 08:00:00,2023-04,13,08,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.141076544927235
9,2023-04-01 09:00:00,2023-04,13,09,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.1105888877339583
10,2023-04-01 10:00:00,2023-04,13,10,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.0957617291880227
11,2023-04-01 11:00:00,2023-04,13,11,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.126362235566857
12,2023-04-01 12:00:00,2023-04,13,12,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.0507989685639417
13,2023-04-01 13:00:00,2023-04,13,13,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.0892472244998058
14,2023-04-01 14:00:00,2023-04,13,14,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.1713376249321863
15,2023-04-01 15:00:00,2023-04,13,15,A7Rf,dsta_blk-900-water,8484.6,Admin Office,0.134280961129503
